actual_current_dm3058_ma,output_duty_pct,adc1_raw,adc1_voltage_v,adc2_raw,adc2_voltage_v,set_current_ma,stm32_reported_current_ma,source_file,source_row,time_s,sample_count,dropped_each_side
10.5921,2,66,0.058,,,10,9.525,low_current_sweep_latest.csv,119,6.82821,64,16
10.6271,1.8,69,0.06,,,10,10.001,low_current_test_after_adaptive.csv,109,7.02308,64,16
10.671,1.9,62,0.053,,,10,8.918,low_current_test_after_adaptive.csv,94,9.9265,64,16
10.7387,2,66,0.058,,,10,9.525,low_current_sweep_latest.csv,91,5.58587,64,16
10.749,1.9,63,0.055,,,10,9.063,low_current_sweep_latest.csv,121,7.795,64,16
10.752,1.9,63,0.055,,,10,9.063,low_current_test_after_adaptive.csv,132,9.9283,64,16
10.7709,2,62,0.053,,,10,8.918,low_current_test_after_adaptive.csv,131,9.44333,64,16
10.9741,2,63,0.055,,,10,9.063,low_current_sweep_latest.csv,120,7.30699,64,16
10.9744,2,62,0.053,,,10,8.918,low_current_test_after_adaptive.csv,92,8.47537,64,16
10.9788,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,104,13.3158,64,16
10.9852,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,100,10.8957,64,16
10.9864,1.8,73,0.063,,,10,10.65,low_current_sweep_start_duty.csv,88,7.49129,64,16
11.0632,1.8,77,0.068,,,10,11.295,low_current_sweep_start_duty.csv,95,11.845,64,16
11.0644,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,104,4.12825,64,16
11.0646,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,113,10.8894,64,16
11.0692,2,66,0.058,,,10,9.525,low_current_test_after_adaptive.csv,91,7.9952,64,16
11.0728,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,115,11.8594,64,16
11.0737,2,66,0.058,,,10,9.525,low_current_test_after_adaptive.csv,108,6.54004,64,16
11.076,2,66,0.058,,,10,9.525,low_current_sweep_latest.csv,131,14.0759,64,16
11.0792,1.8,77,0.068,,,10,11.295,low_current_sweep_latest.csv,123,9.24229,64,16
11.0797,1.8,77,0.068,,,10,11.295,low_current_sweep_start_duty.csv,87,7.01215,64,16
11.08,1.8,73,0.063,,,10,10.65,low_current_test_after_adaptive.csv,105,4.60941,64,16
11.0801,1.9,69,0.06,,,10,10.001,low_current_test_after_adaptive.csv,95,10.4111,64,16
11.0801,1.9,66,0.058,,,10,9.525,low_current_test_after_adaptive.csv,125,5.57824,64,16
11.0813,1.8,77,0.068,,,10,11.295,low_current_sweep_latest.csv,99,10.4159,64,16
11.0821,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,117,5.3776,64,16
11.0952,1.8,77,0.068,,,10,11.295,low_current_sweep_start_duty.csv,91,9.42636,64,16
11.0961,1.8,73,0.063,,,10,10.65,low_current_sweep_start_duty.csv,92,9.91137,64,16
11.1079,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,136,12.3435,64,16
11.1138,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,90,7.5114,64,16
11.1284,1.9,69,0.06,,,10,10.001,low_current_sweep_latest.csv,92,6.06564,64,16
11.1312,1.8,73,0.063,,,10,10.65,low_current_sweep_start_duty.csv,83,4.5956,64,16
11.1401,1.8,77,0.068,,,10,11.295,low_current_test_after_adaptive.csv,88,6.06097,64,16
11.1539,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,124,9.72262,64,16
11.1809,1.9,69,0.06,,,10,10.001,low_current_test_after_adaptive.csv,128,7.51224,64,16
11.1813,1.8,77,0.068,,,10,11.295,low_current_sweep_latest.csv,108,16.2213,64,16
11.1813,1.8,77,0.068,,,10,11.295,low_current_sweep_latest.csv,125,10.6926,64,16
11.1815,1.8,77,0.068,,,10,11.295,low_current_sweep_latest.csv,118,6.34427,64,16
11.1815,1.9,73,0.063,,,10,10.65,low_current_sweep_latest.csv,101,11.8658,64,16
11.1816,1.9,66,0.058,,,10,9.525,low_current_sweep_latest.csv,93,6.55024,64,16
11.1816,1.9,73,0.063,,,10,10.65,low_current_sweep_latest.csv,127,11.6522,64,16
11.1817,1.9,66,0.058,,,10,9.525,low_current_sweep_latest.csv,102,12.3546,64,16
11.1818,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,126,11.1778,64,16
11.1819,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,94,7.52134,64,16
11.1819,1.9,73,0.063,,,10,10.65,low_current_sweep_latest.csv,116,4.89236,64,16
11.1819,1.9,67,0.058,,,10,9.68,low_current_sweep_latest.csv,133,15.5223,64,16
11.182,1.9,69,0.06,,,10,10.001,low_current_sweep_latest.csv,130,13.592,64,16
11.1821,1.9,66,0.058,,,10,9.525,low_current_sweep_latest.csv,103,12.8376,64,16
11.1822,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,90,5.09549,64,16
11.1822,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,105,14.2866,64,16
11.1822,1.9,66,0.058,,,10,9.525,low_current_sweep_latest.csv,95,8.00423,64,16
11.1822,1.9,66,0.058,,,10,9.525,low_current_sweep_latest.csv,96,8.48822,64,16
11.1822,1.9,66,0.058,,,10,9.525,low_current_sweep_latest.csv,134,16.0021,64,16
11.1824,1.8,73,0.063,,,10,10.65,low_current_sweep_latest.csv,97,9.44598,64,16
