cmd,t,set,stm,err,adc1,adc1v,smp,drop,rej,out,dmm
20,1.018505573272705,20,10.001,9.999,69,0.06,48,12,0,2.0,13.01944
20,1.5082988739013672,20,10.817,9.183,78,0.068,48,12,0,2.4,15.25484
20,1.9884607791900635,20,13.786,6.214,100,0.088,48,12,0,2.8,16.98848
20,2.473414897918701,20,15.045,4.955,103,0.091,48,12,0,3.0,17.79095
20,2.958183526992798,20,17.23,2.77,116,0.102,48,12,0,3.1,18.197789999999998
20,3.9226672649383545,20,17.149,2.851,111,0.097,48,12,0,3.2,19.110590000000002
20,4.408229112625122,20,18.751,1.249,123,0.108,48,12,0,3.2,19.11086
20,4.888163805007935,20,18.017,1.983,115,0.101,48,12,0,3.3,19.71941
20,5.377726316452026,20,19.646,0.354,128,0.113,48,12,0,3.3,19.71937
20,5.8584582805633545,20,18.689,1.311,118,0.104,48,12,0,3.3,19.719440000000002
20,6.344218492507935,20,19.814,0.186,128,0.113,48,12,0,3.3,19.96048
20,6.827196836471558,20,19.1,0.9,122,0.107,48,12,0,3.4,20.327789999999997
20,7.7942094802856445,20,20.272,-0.272,131,0.115,48,12,0,3.4,20.32755
20,8.277253150939941,20,19.399,0.601,122,0.107,48,12,0,3.4,20.32758
20,8.758325815200806,20,20.347,-0.347,131,0.115,48,12,0,3.4,20.327749999999998
20,9.238266706466675,20,19.417,0.583,122,0.107,48,12,0,3.4,20.327789999999997
20,9.722574472427368,20,20.351,-0.351,131,0.115,48,12,0,3.4,20.327810000000003
20,10.210261583328247,20,19.418,0.582,122,0.107,48,12,0,3.4,20.32795
20,10.694402933120728,20,20.351,-0.351,131,0.115,48,12,0,3.4,20.3279
20,11.660968542098999,20,19.418,0.582,122,0.107,48,12,0,3.4,20.32766
20,12.144063711166382,20,20.351,-0.351,131,0.115,48,12,0,3.4,20.327669999999998
20,12.619874954223633,20,19.418,0.582,122,0.107,48,12,0,3.4,20.327810000000003
20,13.108701944351196,20,20.351,-0.351,131,0.115,48,12,0,3.4,20.32766
20,13.591464519500732,20,19.418,0.582,122,0.107,48,12,0,3.4,20.327740000000002
20,14.07833456993103,20,20.351,-0.351,131,0.115,48,12,0,3.4,20.32769
20,14.558353662490845,20,19.418,0.582,122,0.107,48,12,0,3.5,20.46581
20,15.51829981803894,20,20.548,-0.548,131,0.115,48,12,0,3.4,20.327669999999998
20,16.00851011276245,20,19.468,0.532,122,0.107,48,12,0,3.4,20.327740000000002
